date,supplier,hotel,product,qty,oldSupplyPrice,newSupplyPrice,diff,tutedPrice,priceListDate,marginRate
2026-08-04,MSD07 TAR ÜR,CASAFORA,MISIR SOYULMUŞ,250,59.4,30.8,-28.6,140,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,CASAFORA,MARUL LOLO ROSSO KIRMIZI,24,94.6,50.6,-44,230,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,SEAPHORİA,MARUL LOLO ROSSO KIRMIZI,24,94.6,50.6,-44,230,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,CASAFORA,HAVUÇ,110,30.8,158.4,127.6,720,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,SEAPHORİA,HAVUÇ,30,30.8,158.4,127.6,720,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,CASAFORA,ELMA GRANNY SMİTH,61,77,114.4,37.4,520,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,SEAPHORİA,ELMA GRANNY SMİTH,43,77,114.4,37.4,520,2026-08-04,0.22
2026-08-04,MSD07 TAR ÜR,SEAPHORİA,LAHANA BEYAZ,36,19.8,28.6,8.8,130,2026-08-04,0.22
2026-05-18,MSD07 TAR ÜR,SEAPHORİA,BİBER KAPYA,14,166,193.6,27.6,880,2026-05-18,0.22
2026-05-18,MSD07 TAR ÜR,SEAPHORİA,KABAK SAKIZ,25,35.2,19.8,-15.4,90,2026-05-18,0.22
2026-05-18,MSD07 TAR ÜR,SEAPHORİA,LAHANA KIRMIZI,15,120,79.2,-40.8,360,2026-05-18,0.22
